Наименование ;Ед.изм.;Цена офис;Цена Виталик;Цена Парни
Вывоз ;м2;800;650;500
Демонтаж вагончик;м2;1500;1350;1200
Демонтаж дерево;м2;900;800;700
Демонтаж перил ровные до 3 метров;шт;4000;3500;3000
Демонтаж перил ровные свыше 3 метров;шт;5000;4500;4000
Демонтаж пластик;м2;1200;1050;900
Демонтаж разбитого СП;м2;800;700;600
Демонтаж стены пеноблок;м2;3500;3000;2700
Демонтаж стены шлакоблок;м2;4000;3500;3000
Доставка ;;прайс;70 процентов;пол стоимоти прайса
Минимальный выезд;;2000;1700;1500
Монтаж 58;м2;1300;1200;1000
Монтаж 70;м2;1500;1400;1200
Монтаж 80;м2;1800;1600;1400
Монтаж Алюминий 60;м2;2000;1700;1500
Монтаж Алюминий 70;м2;2200;1900;1700
Монтаж ворот подьемных;шт;25000;20000;15000
Монтаж двери дерево;шт;6500;6000;5500
Монтаж двери металл;шт;от 3500;от 3000;от 2500
Монтаж двери пластик;шт;3500;3000;2500
Монтаж доводчика;шт;1500;1200;1000
Монтаж душевой;шт;8000;6500;5500
Монтаж композита ;м2;3500;3000;2500
Монтаж Обналички паянная;шт;1000;700;500
Монтаж Откосов с материалом ;метр;2000;1000;800
Монтаж пирил;метр;2700;2300;2000
Монтаж поликорбоната;м2;2000;1500;1200
Монтаж Раздвижка Алюминий;м2;3000;2700;2500
Монтаж Раздвижки безрамное  ;м2;2000;1600;1400
Монтаж роллет 58,45;м2;1500;1200;1000
Монтаж роллет 70;м2;2000;1700;1500
Монтаж ручки дверной;шт;500;400;300
Монтаж ручки дверной офисная;шт;1500;1200;1000
Монтаж ручки оконная;шт;300;230;150
Монтаж сендвич;м2;700;600;500
Монтаж Слайд Пластик;м2;1300;1200;1000
Монтаж Сп пластик;м2;от 2000;от 1600;от 1300
Монтаж Сп Фасадка;м2;от 3000;от 2500;от 2000
Монтаж уголка с материалом внутри;метр;350;150;100
Монтаж уголка с материалом улица;метр;500;250;200
Монтаж Фасадка с примыканием (Уголок) объем;м2;2500;2250;2000
Монтаж Фасадка с примыканием (Уголок)еденичные;;3000;2500;2250
Монтаж фурнитура;шт;2000;1700;1500
Монтажи не стандартных позиций договорная ;;;;
Отлив;метр;700;600;500
Погрузка разгрузка;час;1300;1150;1000
Подоконик кристалит ;метр;1000;850;700
Подоконик обычный;метр;700;600;500
Подъем;м2;200;170;150
Распакечивание Алюминий;шт;1700;1500;1300
Распакечивание пластик;шт;1500;1200;1000
Регулировка ключом дверь Алюминий;шт;1100;950;800
Регулировка ключом дверь пластик;шт;1000;850;700
Регулировка ключом окно Алюминий;шт;800;700;600
Регулировка ключом окно пластик;шт;600;500;400
Резина работа материал;метр;150;70;50
Сварка балкона ;шт;50000;40000;35 000
Сетка обычная ;шт;700;600;500
Сетка плиссе;шт;1500;1200;1000
Смазка фурнитуры;шт;200;150;100
Стиз;м2;600;500;400
Монтаж противопожарных дверей;шт;4500;4000;3500
