 ;;;;;;;;;;
;;;;;;;;;;
;;;;;Прибавляем;0,12 м.кв. к ПРОЕМУ;;;;
Наименование;Спец.цена ДИЛЕРАМ;Рекомендуемая РОЗНИЧ. стоимость;;;;;;;;
Сетка москитная наружн./внутр.крепления , если свыше 0,8 кв.м. белая /коричневая;800 руб кв.м;1100 руб./м2;;;Монтаж м\с оконной;;500;;;
Сетка москитная наружн./внутр.крепления , если менее 0,8 кв.м.  Белая/коричневая;650 шт ; 900 руб./шт.;;;Дверной/плиссе;;1000;;;
Угол металлический 4 шт.;150р 4 шт.;200 р. 4 шт.;;;;разборка + сборка ;;300 руб;;Паше 100 за штуку
Москитная дверь 32 профиль  коричневый;2000 руб./кв.м.;2700 руб./м2;;;;;;;;
Москитная дверь 52 профиль  ( При общей длине 5,8 п.м.) +500 руб если размер более хлыста!!!!;4500 руб./штука ;5500 руб.шт./10500 если покраска под заказ;;;ремонт /;перетяжка м/с ;;500;;
VSN москитная сетка свыше 0,8 м²;2000 руб./м ²;2700 руб./м2;;;;;;;;
VSN москитная сетка менее 0,8 м²;1600 руб./штука;2200 руб.шт;;;;;;;;
Сетка под РОЛЛЕТ;1200 р.м.кв;2000 р.м.кв;;;;;;;;
Москитная сетка  дверная 42 мм АНТРАЦИТ, БЕЛЫЙ;2200 руб/м2;3200 руб./м2;;;;;;;;
Москитная сетка  оконная АНТРАЦИТ свыше 0,8 м.кв;1100 руб/м.кв;1500 руб./м2;;;;2300 р за м.кв. сетка антрацит в Горнице;;;;
Сетка антикошка , антипыль;плюс 800 р. м2;плюс 1000 р. м2;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Примечание! Если указан световой проем на оконные москитные сетки прибавляем 50мм по ширине и высоте. ;;;;;;;;;;
;;;;;;;;;;
На дверную москитную сетку из 32 профиля, прибавляем по ширине и высоте 64 мм к проему;;;;;;;;;;
На дверную москитную сетку из 42 профиля, прибавляем по ширине и высоте 84 мм к проему;;;;;;;;;;
;;;;;;;;;;
Сетки VSN по проемам;;;;;;;;;;
;;;;;;;;;;
На сетки 52 профиля нужен обязательно размер готового изделия!!!!;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Москитные сетки Срок изготовления 1-2 дня.;;;;;;;;;;
ПРАЙС;;;;;;;;;;
До 0.8 м²-610 руб. за шт.;;;;;;;;;;
От 0.8 м² -810 руб. за м²;;;;;;;;;;
Антрацит  - 2000 руб. за м.кв;;;;;;;;;;
Металлические уголки + 150 руб.;;;;;;;;;;
Для всех видов сеток ручки металл , крепления и шурупы в комплекте. ;;;;;;;;;;
Дверные  32 профиль   2000  за м²;;;;;;;;;;
Магниты,защелка, петли и ручки в комплекте.;;;;;;;;;;
Сетки VSN   2700 руб за м .кв.;;;;;;;;;;
Дверные  52 профиль  (не больше 1,68м²)   4500 за шт.;;;;;;;;;;
более 1,68 м²  + 500 руб;;;;;;;;;;
За сетку АНТИПЫЛЬ, АНТИКОШКА  +500 руб. за м.кв.;;;;;;;;;;
Сетка плиссе ориентировочно 5200 руб. за м.кв.  Точную стоимость уточняйте.;;;;;;;;;;
Срок 7-10 дней;;;;;;;;;;
