Подоконники «Витраж+» — белый сатин (пленка ПВХ) (подоконники в распил в размер исходя из стоимости 3100 руб за кв метр);;;;;;;;;;;
Покрытие / цвет;;;;;;;;;;;
белый сатин (пленка ПВХ);;;;;;;;;;;
;;;;;;;;;;base_m2;3100
;;;;;;;;;;;
Тип цены;100 мм;150 мм;200 мм;250 мм;300 мм;350 мм;400 мм;450 мм;500 мм;550 мм;600 мм
"Дилерская цена
(руб/1 пог. м)";620 ₽;620 ₽;620 ₽;775 ₽;930 ₽;1 085 ₽;1 395 ₽;1 395 ₽;1 550 ₽;1 860 ₽;1 860 ₽
"РРЦ
(руб/1 пог. м)";850 ₽;850 ₽;850 ₽;1 063 ₽;1 275 ₽;1 488 ₽;1 913 ₽;1 913 ₽;2 125 ₽;2 550 ₽;2 550 ₽
;;;;;;;;;;;
Комплектующие (цена за шт.);;;;;;;;;;;
Наименование;;;;;;;;;Дилер;РРЦ;Ед.
Заглушка 700 мм с двумя капиносами;;;;;;;;;133 ₽;166 ₽;шт.
Заглушка соединительная 700 мм 90/135°;;;;;;;;;245 ₽;306 ₽;шт.
Заглушка соединительная 700 мм 150/180°;;;;;;;;;245 ₽;306 ₽;шт.
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Примечания:;;;;;;;;;;;
1) Цвет подоконников — наличие согласовывать с менеджером компании перед продажей заказчику!;;;;;;;;;;;
2) Ширины 100 и 150 мм рассчитываются по цене 200 мм.;;;;;;;;;;;
"3) Ширина 400 мм рассчитывается по цене 450 мм; ширина 550 мм — по цене 600 мм.";;;;;;;;;;;
Условия сотрудничества:;;;;;;;;;;;
• Бесплатная доставка по Краснодару в течение 4 рабочих дней с момента оплаты.;;;;;;;;;;;
• При приобретении подоконников в целых полосах скидка 10 %.;;;;;;;;;;;
• Подоконники в целых полосах доступны только путем самовывоза со склада. (Адрес склада: Краснодарский край, г. Краснодар, п.Агроном, ул.Светлая, 1Б/1);;;;;;;;;;;
